family;genus;allergenecity_index
Altingiaceae;Liquidambar;1
Aquifoliaceae;Ilex;1
Betulaceae;Alnus;4
Betulaceae;Betula;5
Betulaceae;Carpinus;1
Betulaceae;Corylus;4
Cercidiphyllaceae;Cercidiphyllum;0
Cupressaceae;Juniperus;2
Cupressaceae;Metasequoia;0
Elaeagnaceae;Eleagnus;0
Fabaceae;Gleditsia;1
Fabaceae;Laburnum;0
Fabaceae;Robinia;1
Fabaceae;Styphnolobium;0
Fagaceae;Castanea;2
Fagaceae;Fagus;2
Fagaceae;Quercus;2
Gingkoaceae;Ginkgo;0
Juglandaceae;Juglans;4
Juglandaceae;Pterocarya;1
Magnoliaceae;Liriodendron;1
Malvaceae;Tilia;1
Nothofagaceae;Nothofagus;0
Oleacea;Fraxinus;2
Paulowniaceae;Paulownia;0
Pinaceae;Cedrus;3
Pinaceae;Picea;0
Pinaceae;Pinus;1
Pinaceae;Tsuga;0
Platanaceae;Platanus;1
Rosaceae;Crataegus;1
Rosaceae;Malus;1
Rosaceae;Prunus;1
Rosaceae;Pyrus;1
Rosaceae;Sorbus;1
Salicaceae;Populus;3
Salicaceae;Salix;1
Sapindaceae;Acer;1
Sapindaceae;Aesculus;0
Sapindaceae;Koelreuteria;0
Simaroubaceae;Ailanthus;1
Taxaceae;Taxus;0
Ulmaceae;Ulmus;2
